dataset,model,MASE,WQL
exchange_rate,seasonal-naive,1.7401824286954128,0.0129841406759913
monash_car_parts,seasonal-naive,1.2014638390969912,1.5999522140809177
monash_cif_2016,seasonal-naive,1.289290577415544,0.0150830409089921
monash_covid_deaths,seasonal-naive,46.91239825526407,0.1330848762571827
monash_fred_md,seasonal-naive,1.1008000463101226,0.1222237702571737
monash_hospital,seasonal-naive,0.9205278266364826,0.0726263373268254
monash_m3_monthly,seasonal-naive,1.1462045758327934,0.1485446007554992
monash_traffic,seasonal-naive,1.0767397173107436,0.3618532196990004
