benchmark,metric,value
in-domain,MASE,0.7296140269944743
in-domain,WQL,0.6086958548874499
zero-shot,MASE,0.8303721909132112
zero-shot,WQL,0.6649587072099045
fine-tuned,MASE,0.7735516977314395
fine-tuned,WQL,0.5796573991230449
