benchmark,metric,value
in-domain,MASE,0.766659041659164
in-domain,WQL,0.6405520547359012
zero-shot,MASE,0.8394388184019524
zero-shot,WQL,0.6563748328796187
fine-tuned,MASE,0.8564413539641346
fine-tuned,WQL,0.6457808164135144
